date,Total Visitor Arrivals,US Visitors Arrivals,US West Visitor Arrivals,US East Visitor Arrivals,Japan Visitor Arrivals,Other Visitor Arrivals,Length of Stay,Visitor Days,Average Daily Room Rate,Hotel Occupancy Rate,Total Visitor Expenditures
1/1/89,,,,,,,,,89.39436295,73.29559055,
4/1/89,,,,,,,,,92.19962746,69.47434882,
7/1/89,,,,,,,,,93.94913547,71.70623232,
10/1/89,,,,,,,,,92.98687412,69.89049497,
1/1/90,304.3662319,248.1097307,,,,,,,93.36326197,69.42443923,
4/1/90,309.8256963,257.0362071,,,,,,,90.66280887,68.09658143,
7/1/90,309.3269872,249.7291965,,,,,,,91.09465854,66.97696638,
10/1/90,305.3306279,237.1484656,,,,,,,92.98593729,64.53534629,
1/1/91,270.215319,221.1834518,,,22.33813691,26.6937303,,,92.47907185,54.81062035,
4/1/91,305.3987353,248.9619962,,,23.82389418,32.61284494,,,93.64916036,62.99276831,
7/1/91,316.2446605,259.9426254,,,32.43849239,23.86354276,,,97.48914114,65.88864194,
10/1/91,290.4676159,230.8576267,,,28.54947652,31.06051268,,,99.97929332,62.74130274,
1/1/92,271.5116872,201.99799,,,27.61531621,41.89838098,5.103992483,1385.79361,103.4549673,61.5690127,
4/1/92,244.816252,182.4354615,,,26.48165018,35.89914034,4.455455117,1090.767823,92.75712518,64.70562329,
7/1/92,198.4974692,146.2370506,,,26.81091743,25.44950118,7.096526079,1408.642467,82.93958941,71.79940548,
10/1/92,166.9049345,119.9738979,,,28.71211617,18.21892034,6.934135663,1157.341458,70.90498481,80.42595852,
1/1/93,122.5092437,85.4457803,,,23.97018241,13.09328094,5.388064026,660.0876486,57.53257413,75.94039551,
4/1/93,125.6571474,83.6531479,,,22.18389261,19.82010684,5.0385688,633.1321821,61.82376733,74.45819133,
7/1/93,151.184656,99.75807708,,,19.20869924,32.21787968,5.052482137,763.8577739,67.8141689,69.22547309,
10/1/93,177.014653,122.4407947,,,19.35722574,35.2166325,5.187705978,918.2999734,76.0861563,70.64260674,
1/1/94,208.9181538,153.4492855,,,18.26954461,37.19932376,5.420382492,1132.416303,91.86950611,77.34371341,
4/1/94,212.8682467,158.0972926,,,20.94896688,33.8219872,5.560802305,1183.718237,105.6799103,77.69138372,
7/1/94,215.1236577,162.0611988,,,25.70766577,27.35479308,5.735890142,1233.925667,116.6987426,76.29225187,
10/1/94,223.8086928,171.8384231,,,25.19382275,26.77644691,5.72193341,1280.618436,122.1418409,72.63931767,
1/1/95,222.5724671,172.5372689,,,24.57560781,25.4595904,5.617502922,1250.301484,122.4824793,65.62302052,
4/1/95,227.2986023,167.5169436,,,26.68503902,33.09661971,5.676465993,1290.252787,127.6523815,62.39822927,
7/1/95,237.9000622,174.6020499,,,23.20705814,40.09095419,5.592012892,1330.340215,124.4033737,63.64491023,
10/1/95,241.3789488,177.8186376,,,21.05229503,42.50801615,5.56429771,1343.104332,125.4250989,65.00050665,
1/1/96,241.7175959,183.3036608,,,21.80923322,36.60470186,5.539195517,1338.921023,123.4489898,66.94057593,
4/1/96,248.6499231,187.0504518,,,24.84279126,36.75668006,5.559222224,1382.300179,123.7976824,66.52174671,
7/1/96,244.8650282,184.6908054,,,27.35970832,32.81451444,5.662037264,1386.434914,126.6009756,64.69361505,
10/1/96,240.2037981,174.960582,,,27.6882672,37.5549489,5.718316499,1373.561342,130.4223523,63.21072897,
1/1/97,248.484442,179.4875572,,,23.89996724,45.09691759,5.762822815,1431.971812,134.4050823,66.17693505,
4/1/97,246.5827909,181.9941969,,,23.92840217,40.66019189,6.085058032,1500.470593,135.7378053,67.62314231,
7/1/97,248.3180905,181.7238777,,,23.30982864,43.28438411,6.0866768,1511.43196,135.4372526,66.95717209,
10/1/97,253.7013956,189.2378682,,,27.19180194,37.27172545,5.884992091,1493.030707,133.3031931,67.14275055,
1/1/98,261.2567942,189.1279052,,,29.56264845,42.56624052,6.049450567,1580.460062,135.2533452,65.39133466,
4/1/98,275.0375513,202.9525128,,,26.62654324,45.4584953,5.638381921,1550.766757,135.8713506,65.5894262,
7/1/98,269.4783195,199.0493589,,,28.95450473,41.47445592,5.73977862,1546.745897,138.6012615,65.0987451,
10/1/98,272.6269168,203.6168231,,,26.88630357,42.12379007,5.875365273,1601.782719,142.9307094,66.85382737,
1/1/99,275.1134713,213.1657788,,,23.93322667,38.01446588,5.909996284,1625.919593,141.5924821,69.40631677,
4/1/99,270.1151869,210.8912764,,,23.15807085,36.06583966,5.713579117,1543.324491,143.4032601,69.16816909,
7/1/99,270.7410133,208.9350552,,,23.55583512,38.25012303,5.88162785,1592.397884,144.7721151,71.22119042,
10/1/99,273.318933,212.4336897,,,21.92286737,38.96237596,5.996777943,1639.032949,149.965476,71.60432372,
1/1/00,269.3924804,209.5041406,109.8638388,95.45700405,28.57543885,31.3129009,6.203052874,1671.0558,149.3488176,73.22800001,
4/1/00,274.1943919,212.3606016,112.1860927,95.78016079,32.57793275,29.25585755,6.096247089,1671.556763,148.1289967,76.92913772,
7/1/00,265.9419801,206.5060212,111.977282,98.90430405,31.77285237,27.66310656,6.164404168,1639.373851,147.1787945,73.92045237,
10/1/00,265.2925827,204.5792366,111.1027865,97.67853111,33.26377603,27.44957002,6.176499855,1638.579598,149.2800579,74.45574323,
1/1/01,270.2503483,207.9460073,112.5150523,95.36368853,34.35881068,27.94553033,6.022974959,1627.71108,150.0033862,74.6436417,
4/1/01,266.4700649,204.9456533,111.8584553,94.67449736,35.44983308,26.07457853,5.989255039,1595.957179,152.3674277,73.67184085,
7/1/01,246.4842869,191.8182566,104.5454119,86.1088729,30.75612588,23.90990445,6.139877803,1513.383402,151.3139145,69.79740495,
10/1/01,225.493085,187.6850829,104.2360805,83.09294121,16.85523037,20.95277178,6.292640951,1418.947021,149.2486049,63.8871125,
1/1/02,247.7701547,199.2981707,110.5937566,87.97964375,23.61146562,24.86051842,6.160858081,1526.47676,150.739192,68.80969202,
4/1/02,254.6596399,201.827738,113.9243418,88.66353556,25.23407727,27.59782466,6.280771489,1599.459006,156.4661978,71.445026,
7/1/02,251.3313107,196.8415342,111.476625,85.57238806,23.19723605,31.29254039,6.250699985,1570.99662,160.9585469,69.03220277,
10/1/02,252.1361827,197.431557,111.4132766,85.77543263,23.14322106,31.56140459,6.496877301,1638.097842,162.8127299,71.54641254,
1/1/03,244.7620314,200.2645133,113.9812349,85.32169042,15.87592312,28.62159496,6.490863517,1588.71694,167.9135563,72.1168954,246.8162527
4/1/03,240.6553928,204.916445,118.8580005,87.5139784,9.802401777,25.93654602,6.904776989,1661.671818,169.5653418,71.50602173,241.0093417
7/1/03,246.294998,208.585704,118.4941725,89.94694902,11.63807129,26.07122272,6.918686244,1704.037815,169.1824896,76.797517,256.3119174
10/1/03,244.1545626,203.6616147,116.685143,86.62710816,14.37938782,26.1135601,6.869943007,1677.32793,170.8452789,78.27956587,265.0654659
1/1/04,249.9941492,208.9119042,120.1710784,88.5642454,14.23997023,26.84227478,6.949336012,1737.293344,172.7036884,78.51325036,262.657894
4/1/04,255.7823921,213.1297305,122.1213866,91.65714033,14.79698494,27.85567666,6.918838935,1769.717173,177.4612032,79.22651056,273.264671
7/1/04,256.6076347,215.1657796,122.2650469,92.64301807,13.71084723,27.73100783,6.879486249,1765.328694,178.2976414,78.39877699,276.5960071
