date,Rev - Total ($THOU),Rev - Taxes ($THOU),Rev - Licenses and Permits ($THOU),Rev - Rents and Concessions ($THOU),Rev - Interest ($THOU),Rev - Intergov'tal ($THOU),Rev - Chrgs for Current Svc ($THOU),Rev - Bond Subsidy ($THOU),Rev - Misc ($THOU),Expenditures - Total ($THOU),Expenditures - Gen Gov't ($THOU),Expenditures - Pub Safety ($THOU),Expenditures - Pub Works ($THOU),Expenditures - Hwys and Streets ($THOU),Expenditures - Sanitation ($THOU),Expenditures - Culture and Rec ($THOU),Expenditures - Pub Welfare ($THOU),Expenditures - Cap ($THOU),Expenditures - Debt Svc ($THOU)
1/1/79,19689.497,8427.142,1410.294,267.956,681.389,7904.64,974.072,0,24.004,23639.264,7640.925,4477.404,1427.914,2149.255,605.302,1160.325,774.025,3729.411,1674.703
1/1/80,20662.463,9102.828,1599.893,316.132,591.472,7595.988,1441.558,0,14.592,26492.501,8637.776,4957.012,1612.282,2284.558,762.52,1284.161,837.973,4233.572,1882.647
1/1/81,26879.051,10788.335,1774.97,332.664,1716.249,9542.324,832.976,0,1891.533,27652.055,5947.44,5881.885,1492.469,2750.808,948.822,2864.525,959.871,5213.54,1592.695
1/1/82,28985.194,13850.855,1544.946,338.892,2028.997,10012.636,779.782,0,429.086,30115.265,6365.403,6529.312,1627.717,3068.738,1111.032,1939.342,2638.908,5146.711,1688.102
1/1/83,30193.022,15448.603,1557.266,306.341,1296.278,9696.695,845.126,0,1042.713,31944.054,8910.339,7215.794,1746.042,3257.014,1331.616,1924.739,2943.354,2927.758,1687.398
1/1/84,30499.677,15541.386,1698.593,344.134,1128.709,10371.835,955.871,0,459.149,31272.043,10102.358,7038.572,1635.246,3206.056,1273.936,2003.555,3111.664,1213.964,1686.692
1/1/85,35303.288,19837.775,1721.44,341.781,1385.458,10101.149,1018.397,0,897.288,32114.763,8856.5,7773.312,1683.825,3355.82,1262.72,2169.317,3592.017,1735.265,1685.987
1/1/86,34675.299,19462.012,1925.562,391.476,1207.216,9762.889,1192.083,0,734.061,34840.865,9839.096,7915.69,1736.327,3280.806,1447.443,2235.333,3963.078,1753.932,2669.16
1/1/87,35939.233,18840.947,2034.554,636.222,918.633,11090.494,1736.427,0,681.956,46775.686,10011.299,8463.914,1941.12,3391.402,1409.842,2406.639,3912.396,12821.936,2417.138
1/1/88,37432.176,20040.699,2270.518,1328.193,1214.416,9567.002,2253.022,0,758.326,37014.746,9893.236,8920.8,2316.796,3521.199,1595.199,2643.398,4352.914,1760.16,2011.044
1/1/89,46371.318,23604.424,2692.245,1399.346,1871.156,12634.947,2473.199,0,1696.001,42882.575,11054.55,10006.764,2433.945,3526.548,1774.314,2655.216,4545.803,3832.95,3052.485
1/1/90,55541.063,26745.995,3091.47,1526.005,2513.888,18260.497,2668.19,0,735.018,48526.173,10893.128,11105.787,2739.633,3808.466,2193.517,2947.181,5579.848,5438.768,3819.845
1/1/91,60134.562,31257.978,3148.563,1620.4,3157.972,17685.378,2608.061,0,656.21,57126.153,13565.034,12084.316,2925.451,4413.157,3243.702,3152.725,6724.696,6290.103,4726.969
1/1/92,73809.358,36711.444,2860.521,1400.557,2614.541,28255.746,824.663,0,1141.886,65654.289,16108.945,13683.84,3844.426,4835.58,1409.967,2403.031,8099.083,9453.895,5815.522
1/1/93,109505.091,36672.036,2732.438,961.67,1796.896,64891.62,1103.56,0,1346.871,114877.655,53701.439,13156.127,3155.068,5090.681,2444.778,2876.834,9492.882,18456.551,6503.295
1/1/94,111090.8,32129.64,2786.726,1019.091,1525.985,70470.925,1512.86,0,1645.573,125062.872,58283.249,14867.312,3318.48,5261.488,1987.715,2779.795,15581.221,16919.52,6064.092
1/1/95,121545.767,31453.905,2776.402,863.384,2420.061,79247.314,1506.385,0,3278.316,137241.061,48204.518,14833.32,3652.238,5002.667,1601.267,2924.884,17156.397,38110.927,5754.843
1/1/96,111116.717,35078.318,2596.002,877.715,1347.417,67046.656,1497.673,0,2672.936,116393.706,41462.921,14492.142,3520.133,5322.564,3453.566,3029.016,27428.42,12065.471,5619.473
1/1/97,86948.112,37020.795,2732.176,539.9,938.464,41884.629,2267.013,0,1565.135,88358.517,31556.913,14918.834,3814.145,5356.443,3839.029,2870.988,12144.478,10269.099,3588.588
1/1/98,80800.897,36088.974,2794.725,587.944,927.949,35729.766,2643.577,0,2027.962,82155.395,21732.41,15825.352,3761.002,5322.342,5195.393,3051.753,18980.09,4986.6,3300.453
1/1/99,85799.034,36509.455,3028.165,614.554,1278.027,33629.531,2599.937,0,8139.365,85324.876,23926.435,17192.372,4413.839,5755.249,4864.358,3793.496,15442.507,6227.402,3709.218
1/1/00,86263.275,40955.507,3799.222,609.456,2152.612,35223.602,2872.279,0,650.597,84851.359,17015.101,17457.817,3991.561,6404.313,4657.351,3617.909,15948.559,10289.092,5469.656
1/1/01,86300.375,43501.111,4663.591,629.748,3112.606,30398.453,3141.315,0,853.551,84131.044,18706.269,18731.088,4252.186,6464.385,5585.471,3307.763,10726.565,11010.019,5347.298
1/1/02,92290.992,46265.892,4974.79,591.484,2070.987,34100.246,2915.628,0,1371.965,107213.494,22587.568,21111.419,4241.775,7091.524,6204.468,3559.49,11686.067,24467.94,6263.243
1/1/03,99656.024,50739.387,5561.473,631.226,1410.032,37611.547,3296.678,0,405.681,103105.264,21740.154,21759.541,4475.086,7265.14,6687.899,4234.26,13926.744,16620.294,6396.146
1/1/04,99863.779,57059.953,5715.27,678.856,632.893,31357.544,3626.818,0,792.445,100012.502,22822.99,23501.535,4789.243,9491.32,6625.259,3041.644,14027.512,9322.449,6390.55
