date,Total Nonfarm Jobs,Construction & Mining,Manufacturing,"Trade, Transport, & Utility",Transportation & Utilities,Total Trade Jobs,Information Jobs,Financial Activities,Finance and Insurance Jobs,Real Estate & Rental Jobs,Professional & Bus Services,"Prof, Sci, and Tech Svc Jobs",Mgmt of Companies jobs,Admin & Waste Management,Educational & Health Svs,Educational Services,Healthcare & Social Asst,Leisure & Hospitality,"Arts, Entertain., & Recreation",Accom & Food Services,Wholesale Trade Jobs,Other service jobs,Total Government Jobs,Total Government Jobs,Federal Government Jobs,State & Local Government Jobs,Employment,Unemployment Rate,Retail Trade Jobs
1/1/72,9.983573399,0.599881403,1.292618925,,,,,0.285265757,0.096908676,0.18835708,,,,,,,0.383479318,,,2.168981307,,,2.25894747,2.25894747,0.30205455,1.957632658,,,
4/1/72,10.09554463,0.60411975,1.316129523,,,,,0.290683246,0.098764784,0.191918461,,,,,,,0.395573423,,,2.24597071,,,2.273951102,2.273951102,0.302196893,2.000752973,,,
7/1/72,10.20950833,0.618182242,1.258573604,,,,,0.297192319,0.100849918,0.196342401,,,,,,,0.404673162,,,2.320229036,,,2.277203832,2.277203832,0.296604031,2.015100481,,,
10/1/72,10.35221337,0.636737607,1.233977948,,,,,0.30568215,0.103702639,0.20197951,,,,,,,0.400898781,,,2.36185228,,,2.28992912,2.28992912,0.299144526,2.026513888,,,
1/1/73,10.5864384,0.683236954,1.236763046,,,,,0.333620829,0.113491669,0.22012916,,,,,,,0.404793921,,,2.230565313,,,2.296993988,2.296993988,0.406845032,1.972538595,,,
4/1/73,10.59409633,0.697923862,1.221936183,,,,,0.342127518,0.116417708,0.225709809,,,,,,,0.421485069,,,2.268887748,,,2.216862783,2.216862783,0.402844118,1.897975686,,,
7/1/73,10.706865,0.713277035,1.225171579,,,,,0.348191405,0.118404113,0.229787292,,,,,,,0.42678116,,,2.313430515,,,2.224624829,2.224624829,0.396099741,1.892350463,,,
10/1/73,10.86823655,0.732745837,1.219362526,,,,,0.352739089,0.119886215,0.232852874,,,,,,,0.434136737,,,2.360149759,,,2.23188511,2.23188511,0.394211109,1.937135256,,,
1/1/74,10.5175334,0.849276384,1.030019237,,,,,0.41080363,0.140119638,0.270683992,,,,,,,0.459737657,,,2.231226805,,,2.21504943,2.21504943,0.40159576,1.890854087,,,
4/1/74,10.6047404,0.852237757,1.016234806,,,,,0.410970836,0.140240314,0.270730522,,,,,,,0.456905461,,,2.271757392,,,2.258794677,2.258794677,0.402607413,1.987854576,,,
