date,Total Visitor Arrivals,US Visitors Arrivals,US West Visitor Arrivals,US East Visitor Arrivals,Japan Visitor Arrivals,Other Visitor Arrivals,Length of Stay,Visitor Days,Total Visitor Expenditures
6/1/95,77.17441755,56.25975932,,,9.02494272,11.8897155,5.637986838,435.1083504,
7/1/95,79.21235787,57.76334223,,,8.65140695,12.79760869,5.61739775,444.9673209,
8/1/95,80.0161853,58.5983416,,,7.473064225,13.94477948,5.592103887,447.4588209,
9/1/95,78.67151906,58.24036606,,,7.082586969,13.34856602,5.566360972,437.9140733,
10/1/95,79.48537543,60.10882067,,,7.337787435,12.03876732,5.656199528,449.585143,
11/1/95,80.65503253,59.71529989,,,6.787588667,14.15214397,5.549929529,447.6297467,
12/1/95,81.23854086,57.99451707,,,6.926918928,16.31710486,5.488644156,445.8894425,
1/1/96,79.26873038,60.21804779,,,7.144688011,11.90599458,5.519139758,437.4952014,
2/1/96,83.44124983,63.34635161,,,7.028109928,13.0667883,5.455871743,455.2447572,
3/1/96,79.00761565,59.73926139,,,7.636435277,11.63191898,5.647317176,446.1810649,
4/1/96,80.25969814,60.51971382,,,7.902192566,11.83779176,5.62791494,451.6947543,
5/1/96,83.63258196,63.29601203,,,8.06273764,12.27383229,5.520372443,461.6830008,
6/1/96,84.75764303,63.23472596,,,8.877861057,12.64505601,5.532509008,468.9224236,
7/1/96,81.43154609,61.1581657,,,9.344189007,10.92919139,5.597070122,455.7780736,
8/1/96,81.60871261,61.67778643,,,9.158381923,10.77254426,5.647762989,460.9066667,
9/1/96,81.82476949,61.85485331,,,8.857137392,11.1127788,5.740928778,469.750174,
10/1/96,77.1186377,55.03491001,,,9.533300469,12.55042722,5.939490645,458.0454272,
11/1/96,81.11677372,59.47429891,,,8.850095953,12.79237886,5.687162751,461.324294,
12/1/96,81.96838665,60.45137305,,,9.304870779,12.21214282,5.541058437,454.1916205,
1/1/97,82.30257372,59.90983831,,,7.956982763,14.43575265,5.554737426,457.1691865,
2/1/97,82.53542732,59.37598338,,,8.023694482,15.13574946,5.792151113,478.0576672,
3/1/97,83.64644098,60.20173551,,,7.919289999,15.52541548,5.938626345,496.7449581,
4/1/97,86.02468828,63.82377614,,,8.129811976,14.07110016,6.083719716,523.3500922,
5/1/97,79.54970468,58.19880283,,,8.250359346,13.10054251,6.217329508,494.5867263,
6/1/97,81.00839797,59.9716179,,,7.54823085,13.48854922,5.956589517,482.5337741,
7/1/97,80.82037396,58.91948774,,,7.487105224,14.413781,6.030215451,487.3642678,
8/1/97,82.46595964,60.6922549,,,7.304888123,14.46881662,5.983728246,493.4538921,
9/1/97,85.03175685,62.11213506,,,8.517835295,14.40178649,6.240183902,530.6138003,
10/1/97,84.39779167,62.30913088,,,8.653128184,13.4355326,6.029482867,508.8750389,
11/1/97,84.22488324,63.20513192,,,9.086216515,11.9335348,5.974947991,503.2392969,
12/1/97,85.07872071,63.72360542,,,9.452457242,11.90265805,5.652604632,480.9163707,
1/1/98,87.57951469,63.16077835,,,9.902975373,14.51576097,6.307627884,552.418989,
2/1/98,86.13000627,62.30622926,,,10.04734951,13.7764275,6.013041989,517.9033442,
3/1/98,87.54727321,63.66089758,,,9.612323573,14.27405205,5.826997345,510.1377286,
4/1/98,94.16336789,70.06868011,,,9.301909013,14.79277877,5.57643443,525.0958467,
5/1/98,90.86470001,66.2314751,,,8.765590381,15.86763453,5.618739463,510.5450757,
6/1/98,90.00948344,66.65235758,,,8.559043846,14.79808201,5.72301734,515.1258344,
7/1/98,89.38243361,65.51642753,,,9.584170408,14.28183568,5.760904298,514.923646,
8/1/98,88.80553446,65.70436777,,,9.282716866,13.81844982,5.777047737,513.0338119,
9/1/98,91.29035147,67.82856359,,,10.08761746,13.37417042,5.682839763,518.7884393,
10/1/98,89.8035446,67.21764651,,,9.256327366,13.32957073,5.633331133,505.8931037,
11/1/98,90.6883247,67.12597103,,,9.108497773,14.45385589,5.818458923,527.666292,
12/1/98,92.13504749,69.27320559,,,8.521478434,14.34036346,6.167287467,568.2233236,
1/1/99,91.8217399,71.5419142,,,8.07592251,12.2039032,6.236237561,572.6221833,
2/1/99,92.75544874,71.9582841,,,8.119574238,12.67759041,5.781339157,536.2507079,
3/1/99,90.53628267,69.66558048,,,7.737729919,13.13297228,5.710933636,517.046702,
4/1/99,91.09306404,70.95618028,,,7.861184763,12.275699,5.6094011,510.9775336,
5/1/99,89.50023578,70.22624778,,,7.659382171,11.61460583,5.725498209,512.4334397,
6/1/99,89.52188707,69.70884832,,,7.637503915,12.17553483,5.807669327,519.9135176,
7/1/99,90.77726671,70.61398129,,,7.832120323,12.33116509,5.867136892,532.6026505,
8/1/99,89.61519507,69.08521017,,,7.888091279,12.64189362,5.869535099,525.9995328,
9/1/99,90.34855154,69.23586371,,,7.835623517,13.27706431,5.908182165,533.7957008,
10/1/99,93.2601534,71.83205289,,,7.26711217,14.16098834,5.989515273,558.5831131,
11/1/99,91.83127484,70.63023782,,,8.094401578,13.10663544,5.94146698,545.6124872,
12/1/99,88.22750477,69.97139897,,,6.561353619,11.69475218,6.0620251,534.8373485,
1/1/00,84.78810825,65.45518811,33.7684389,29.68599104,8.827081262,10.50583888,6.262784431,531.0096443,
2/1/00,91.40875685,71.20135675,37.90913682,33.36545174,9.64677889,10.56062122,6.241520919,570.5296681,
3/1/00,93.19561529,72.84759579,38.18626307,32.40556126,10.1015787,10.2464408,6.110979423,569.5164874,
4/1/00,91.29368986,70.50937314,36.77521198,31.78527248,10.5995605,10.18475622,6.152964956,561.7268744,
5/1/00,91.5663443,71.08318934,37.45463992,32.03337936,10.88664378,9.596511186,6.061910151,555.066952,
6/1/00,91.33435769,70.76803908,37.9562408,31.96150895,11.09172848,9.47459014,6.073978631,554.7629369,
7/1/00,89.99533006,70.69847758,37.69613315,34.03513385,10.47162716,8.825225315,6.110240098,549.8930743,
8/1/00,85.80236461,66.16166212,36.55923619,30.6051697,10.91468504,8.726017446,6.261682898,537.2671991,
9/1/00,90.14428546,69.6458815,37.7219127,34.2640005,10.38654016,10.1118638,6.125885567,552.2135772,
10/1/00,89.30587451,68.64226621,37.0473831,32.8292936,11.05993361,9.603674692,6.183054322,552.1830733,
11/1/00,87.96780114,68.30197658,36.78096176,33.02409625,10.90505497,8.760769588,6.202343838,545.6065493,
12/1/00,88.01890701,67.63499382,37.2744416,31.82514127,11.29878745,9.085125741,6.144020576,540.7899757,
1/1/01,90.55396256,69.00878218,36.99335712,31.89946775,11.55599075,9.989189631,6.052014072,548.0338557,
2/1/01,89.18663111,68.56300437,36.38916169,31.25416866,11.43075704,9.192869708,5.937767962,529.5695209,
3/1/01,90.50975459,70.37422071,39.13253347,32.21005213,11.37206289,8.763470986,6.077883054,550.1077037,
4/1/01,89.85013552,69.06756664,38.14438159,31.00155921,11.84864656,8.933922326,5.993051109,538.4764543,
5/1/01,88.12940188,68.11472332,37.05524573,31.38755052,11.52173535,8.492943207,5.956858437,524.9743712,
6/1/01,88.49052745,67.76336329,36.65882794,32.28538762,12.07945116,8.647712995,6.017665037,532.5063531,
7/1/01,88.43086313,67.59376273,36.64792648,31.77538291,12.20062027,8.636480129,5.963983009,527.4001652,
8/1/01,89.34133218,69.01315271,38.17597532,31.57509997,12.15899673,8.169182744,6.121463204,546.8996776,
9/1/01,68.7120916,55.21134115,29.72151015,22.75839001,6.396508877,7.104241574,6.390193473,439.0835593,
10/1/01,71.18143188,59.5342836,32.47476656,26.63377682,5.429803907,6.217344377,6.238051142,444.0334124,
11/1/01,74.86895612,63.27442578,34.93885022,27.6812336,4.471243386,7.123286957,6.518711781,488.0491463,
12/1/01,79.44269704,64.87637352,36.82246373,28.7779308,6.954183075,7.612140442,6.12849866,486.8644624,
1/1/02,79.34855252,63.84389835,35.6879267,28.01676634,7.454710069,8.049944101,6.194779503,491.5467868,
2/1/02,85.3035793,69.25785731,37.78106753,30.62319039,7.768409169,8.277312828,6.145427009,524.2269202,
3/1/02,83.11802292,66.19641504,37.12476241,29.33968702,8.388346381,8.533261493,6.144311849,510.7030531,
4/1/02,80.86043273,64.03408858,36.60680094,28.12729312,8.13411604,8.692228115,6.504470851,525.9543277,
5/1/02,85.38060713,67.23924656,37.19797475,30.08652891,8.595538032,9.545822534,6.279700261,536.1646208,
6/1/02,88.41860009,70.55440289,40.11956611,30.44971352,8.504423196,9.359774009,6.077228737,537.3400574,
7/1/02,84.06981331,65.76186543,38.08624311,28.09486902,7.864079594,10.44386829,6.114106827,514.0118194,
8/1/02,84.4887977,66.02578476,38.25114354,29.15227376,7.964545853,10.49846708,6.080997548,513.7761717,
9/1/02,82.77269967,65.05388404,35.13923833,28.32524529,7.368610606,10.35020502,6.562654486,543.2086288,
10/1/02,84.08698442,66.35892872,37.83789798,28.29356534,7.579742167,10.14831353,6.45772775,543.0108527,
11/1/02,83.96907087,65.8311894,36.66299149,29.28588102,7.131504594,11.00637688,6.582459817,552.7230348,
12/1/02,84.08012741,65.24143893,36.91238711,28.19598628,8.431974299,10.40671418,6.450560569,542.3639545,
1/1/03,83.66788023,67.97511411,38.87894932,29.0731147,5.854156128,9.838609991,6.37571435,533.4425046,82.54822413
2/1/03,80.85087432,65.80614546,36.96864118,27.44875654,5.597223995,9.447504868,6.519879225,527.1379358,83.36806045
3/1/03,80.24327685,66.48325376,38.13364443,28.79981918,4.424542993,9.335480097,6.58169158,528.1364997,80.89996813
4/1/03,80.73919148,68.77539687,39.36717356,29.97254947,3.296012177,8.667782435,6.920769858,558.7773627,79.69266316
5/1/03,79.39561322,67.39638817,39.11698857,29.18896535,3.2127088,8.786516252,6.953462397,552.074411,81.28185079
6/1/03,80.52058807,68.74465994,40.37383842,28.35246358,3.2936808,8.482247329,6.84073549,550.8200445,80.03482781
7/1/03,82.08839499,70.3570525,40.79245472,29.77530598,3.434851018,8.296491469,6.876599629,564.4890265,81.25406365
8/1/03,83.74202544,71.05674684,40.4488491,31.43893757,3.90814878,8.777129825,7.081730222,593.0384324,91.39834397
9/1/03,80.46457755,67.17190464,37.25286868,28.73270548,4.295071488,8.99760143,6.791937177,546.5103557,83.65950983
10/1/03,80.37143815,67.15764099,39.09251688,27.69300372,4.513042047,8.700755114,6.898187293,554.4172334,86.40227797
11/1/03,80.89168681,67.445958,39.2951451,27.97381147,4.76467011,8.681058707,6.879695421,556.5101674,87.68486136
12/1/03,82.89143766,69.05801572,38.29748104,30.96029296,5.101675664,8.731746276,6.833040243,566.4005293,90.97832654
1/1/04,81.92905431,68.45291024,39.28167542,29.64208109,4.575832007,8.900312067,7.016505244,574.8556392,89.08685231
2/1/04,83.73569567,69.6578811,41.23650891,29.2109561,4.96536652,9.112448051,7.035667228,589.1364898,88.44220084
3/1/04,84.32939927,70.80111291,39.65289409,29.71120821,4.698771702,8.82951466,6.79835526,573.3012151,85.12884088
4/1/04,84.94822496,70.85959188,41.20802666,30.48092545,4.984527511,9.104105577,6.99103232,593.8757862,88.90424377
5/1/04,85.7263286,71.64798911,41.03933332,30.77749595,4.898134196,9.180205299,6.964234666,597.0182694,91.50172006
6/1/04,85.10783852,70.6221495,39.87402658,30.39871893,4.914323235,9.571365781,6.801055314,578.8231174,92.85870714
7/1/04,86.48250979,72.4104528,40.00719833,32.86267984,4.910480314,9.16157668,6.850132851,592.4166814,93.82746677
8/1/04,83.93934353,70.37816766,40.57084051,29.50995966,4.53188991,9.02928596,6.921574199,580.9923944,90.74799043
9/1/04,86.18578137,72.37715919,41.68700808,30.27037857,4.268477003,9.540145186,6.867949783,591.9196185,92.02054986
10/1/04,86.30589585,72.25031425,40.74564298,31.68519129,4.334060728,9.721520873,6.804596085,587.276761,94.57652256
11/1/04,84.90555994,71.41775604,41.12547125,29.82871576,3.942774338,9.545029563,6.731927857,571.5781042,90.86599177
12/1/04,87.32567771,74.48363235,42.23901285,32.31316714,3.879785535,8.962259826,6.643057374,580.1094872,89.92157686
1/1/05,86.46862252,73.80480721,42.03857182,32.1719359,3.975623669,8.688191636,6.800646095,588.0425001,88.87139612
2/1/05,87.95810804,75.15047586,41.56267772,32.44140576,3.795846017,9.011786163,6.587710799,579.4425782,88.91275495
3/1/05,92.0295118,78.8443944,42.80331659,33.41234788,3.730703167,9.454414233,6.483217567,596.6473476,92.84642525
4/1/05,83.83905829,70.58354169,41.63851782,30.88562746,3.662070155,9.593446443,6.797698799,569.9126658,91.93283044
5/1/05,88.2423807,74.76731497,42.76385624,31.78028708,3.873535092,9.601530634,6.480519079,571.8564317,94.5309943
6/1/05,89.85470249,76.32979909,43.71372284,32.64174498,3.805667717,9.719235676,6.616634782,594.5357498,93.11974875
7/1/05,95.53520532,81.66001795,45.72185706,34.38595329,3.584315689,10.29087168,6.60897112,631.3894129,101.180299
