date,Total Nonfarm Jobs,Construction & Mining,Manufacturing,"Trade, Transport, & Utility",Transportation & Utilities,Total Trade Jobs,Information Jobs,Financial Activities,Finance and Insurance Jobs,Real Estate & Rental Jobs,Professional & Bus Services,"Prof, Sci, and Tech Svc Jobs",Mgmt of Companies jobs,Admin & Waste Management,Educational & Health Svs,Educational Services,Healthcare & Social Asst,Leisure & Hospitality,"Arts, Entertain., & Recreation",Accom & Food Services,Other service jobs,Total Government Jobs,Total Government Jobs,Federal Government Jobs,State & Local Government Jobs,Employment,Unemployment Rate,Retail Trade Jobs,Wholesale Trade Jobs
1/1/72,10.15833333,0.61475,1.275325,1.8634,0.608525,,,0.2947,0.100056505,0.194641667,,,,,,,0.396133333,,,2.274258333,,2.275,2.275,0.3,1.975,,,,
1/1/73,10.69166667,0.706808333,1.225808333,2.084825,0.811433333,,,0.344166667,0.117049926,0.227141667,,,,,,,0.421783333,,,2.293258333,,2.241666667,2.241666667,0.4,1.841666667,,,,
1/1/74,10.66666667,0.862108333,1.056941667,2.101108333,0.701766667,,,0.41655,0.142000315,0.274516667,,,,,,,0.456558333,,,2.275666667,,2.25,2.25,0.4,1.85,,,,
1/1/75,11.6,0.867491667,1.2229,2.216008333,0.737925,,,0.551433333,0.191193862,0.360208333,,,,,,,0.544741667,,,2.426075,,2.4,2.4,0.3,2.1,,,,
1/1/76,12.3,0.807883333,1.212025,2.38485,0.786216667,,,0.624091667,0.216469832,0.407608333,,,,,,,0.567166667,,,2.659691667,,2.6,2.6,0.3,2.3,,,,
1/1/77,13.04166667,0.683908333,1.125808333,2.720158333,0.962925,,,0.731733333,0.256086411,0.475666667,,,,,,,0.633458333,,,2.905258333,,2.641666667,2.641666667,0.3,2.341666667,,,,
1/1/78,13.68333333,0.7043,1.180525,2.856166667,0.983383333,,,0.8329,0.292040103,0.540875,,,,,,,0.71555,,,3.039725,,2.733333333,2.733333333,0.3,2.433333333,,,,
1/1/79,14.28333333,0.930816667,1.203975,2.915475,0.935491667,,,0.897083333,0.315305145,0.581775,,,,,,,0.815925,,,3.22415,,2.741666667,2.741666667,0.3,2.441666667,,,,
1/1/80,15.15833333,1.405258333,1.214591667,3.055258333,0.9388,,,0.944241667,0.332298813,0.611941667,,,,,,,0.884766667,,,3.450208333,,2.783333333,2.783333333,0.3,2.483333333,,,,
1/1/81,15.24166667,1.101041667,1.239133333,3.068908333,0.951041667,,,0.882075,0.312201649,0.569875,,,,,,,0.9573,,,3.6113,,2.8,2.8,0.3,2.5,,,,
1/1/82,15.15,0.806941667,1.204191667,3.117691667,0.943908333,,,0.802,0.283090161,0.518908333,,,,,,,1.023716667,,,3.8679,,2.816666667,2.816666667,0.3,2.516666667,,,,
1/1/83,15.74166667,1.028258333,1.201183333,3.319325,0.994241667,,,0.816116667,0.289676219,0.526441667,,,,,,,1.055591667,,,3.979083333,,2.816666667,2.816666667,0.3,2.516666667,,,,
1/1/84,15.74166667,0.645566667,1.203466667,3.510966667,1.03835,,,0.807208333,0.28680939,0.5204,,,,,,,1.102475,,,4.1107,,2.775,2.775,0.3,2.475,,,,
