date,Tot NonFarm Jobs (Thou),Unemployment Rate,Real Personal Income (2013 $MIL),Resid Pop (Thou),Real Per-Capita Pers Income (2013 $THOU),Tot Vis Arrivals (Thou),Tot Vis Days (Thou),Med Resale Price for SFH ($THOU),Real Resid Bldg Permits (1992 $MIL),Const Jobs (Thou)
1969-01-01,,,720974.5194418605,,,,,,,
1970-01-01,,,742589.1264,29.8,24919.09820134228,,,,,
1971-01-01,,,792830.8938942491,30.9,25657.957731205475,,,,,
1972-01-01,10.158333333333333,,818580.3782959641,31.9,25660.826905829595,,,,,0.61475
1973-01-01,10.691666666666668,,876969.5812017166,32.9,26655.610370872848,,,,,0.7068083333333334
1974-01-01,10.666666666666666,,1080332.0955965081,32.6,33139.0213373162,,,,,0.8621083333333334
1975-01-01,11.6,,955398.1711035401,33.4,28604.735661782637,,,,,0.8674916666666665
1976-01-01,12.299999999999999,,977765.2301395348,34.9,28016.195706003862,,,,,0.8078833333333334
1977-01-01,13.041666666666664,,1021672.1257066166,35.5,28779.496498777928,,,,,0.6839083333333335
1978-01-01,13.683333333333335,,1045081.3454110614,36.8,28398.949603561454,,,,,0.7042999999999999
1979-01-01,14.283333333333333,,1072736.1849375106,38.1,28155.805378937283,,,,,0.9308166666666667
1980-01-01,15.158333333333331,,1195568.30779239,39.4,30344.3732942231,,,,,1.4052583333333333
1981-01-01,15.241666666666667,,1110489.678211559,40.457,27448.641229244855,,,,,1.1010416666666667
1982-01-01,15.149999999999999,,1131042.397120082,41.804,27055.84147737255,,,,,0.8069416666666666
1983-01-01,15.741666666666667,,1248338.4055376097,42.796,29169.511298663656,,,,,1.0282583333333335
1984-01-01,15.741666666666667,,1241050.9426624787,43.634,28442.291393465614,,,,,0.6455666666666667
1985-01-01,16.725,,1297266.9718385646,44.357,29246.048466725988,,,,,0.7642666666666668
1986-01-01,17.916666666666668,,1375035.1687569998,45.567,30176.117996730085,,,,,0.8597333333333333
1987-01-01,19.316666666666666,,1398849.4153524803,47.203,29634.75659073534,,,,,0.9840916666666666
1988-01-01,21.025,,1570691.4820862422,48.549,32352.705145033717,,,,,0.9894666666666666
1989-01-01,23.191666666666663,,1730603.9837825242,49.847,34718.31772789785,,,,114.69979215035933,1.6027500000000001
1990-01-01,24.049999999999997,3.583333333333334,1758679.6458342378,51.676,34032.813024116374,1228.8495433326975,,,168.50683491062043,1.8000000000000005
1991-01-01,25.241666666666664,4.125,1787602.6483271376,53.379,33488.87480708027,1182.3263306884683,,,66.53035306070612,1.7000000000000002
1992-01-01,24.566666666666666,9.6,1847588.0119626166,54.439,33938.683884028294,881.7303428377162,5042.545358000001,,73.94641987335606,1.7000000000000002
1993-01-01,22.40833333333333,12.966666666666667,1875077.273778888,55.461,33808.93373323396,576.3656999692801,2975.3775780000005,,52.9045077371608,2.8249999999999997
1994-01-01,22.924999999999997,12.258333333333331,1859802.3361896076,56.478,32929.67768316172,860.7187509557821,4830.678644000001,246875.00000000003,96.51252475247526,1.8833333333333335
1995-01-01,23.50833333333333,10.733333333333333,1901127.4023907222,57.068,33313.370056611806,929.1500804582585,5213.998817999999,244687.49999999997,38.72573965748114,1.583333333333333
1996-01-01,23.333333333333332,11.291666666666666,1864899.6470395313,57.688,32327.340990145804,975.4363452584432,5481.217458000001,220500.00000000003,44.308022301871766,1.2500000000000002
1997-01-01,23.391666666666666,10.250000000000002,1884344.9733992442,57.712,32650.834720668907,997.0867190284378,5936.905071000001,228375.0,37.48753593296809,0.9916666666666667
1998-01-01,23.941666666666666,8.966666666666667,1921000.9469854224,57.843,33210.603651010875,1078.3995818226836,6279.755435,228624.99999999997,39.262240805265186,0.9000000000000002
1999-01-01,24.608333333333334,6.858333333333334,1972913.9989841268,58.264,33861.6298054395,1089.2886045244759,6400.674916999999,234500.0,63.13978043143295,0.8833333333333334
2000-01-01,25.566666666666666,4.5,2075119.3547362443,58.568,35430.94103838691,1074.8214350313913,6620.566012000001,257137.5,71.85984864821458,1.075
2001-01-01,25.645833333333332,5.05,2110973.8312107627,59.075,35733.79316480343,1008.697785076027,6155.998682,289875.0,94.14425634161138,1.0708333333333333
2002-01-01,26.016666666666666,4.383333333333334,2197602.691062413,59.981,36638.31365036283,1005.8972880585242,6335.0302280000005,323750.0,115.21690143750737,1.2625000000000002
2003-01-01,27.033333333333342,3.958333333333334,2254174.689053944,60.805,37072.192896208275,975.8669847940015,6631.754502999998,368749.99999999994,99.0704076482119,1.3083333333333333
2004-01-01,28.058333333333337,3.358333333333333,2401445.4195959065,62.095,38673.732500135375,1020.9213095234365,7011.303564,495000.0,80.11057789627833,1.325
2005-01-01,28.808333333333326,2.7249999999999996,2490450.133751264,62.863,39617.10598843936,1090.1474113755608,7172.7530289999995,626875.0,164.55461380056295,1.4749999999999999
2006-01-01,29.641666666666666,2.4333333333333336,2539067.765903988,63.465,40007.3704546441,1204.1321332619982,7696.079011999998,678000.0,124.3659734708584,1.7583333333333337
2007-01-01,30.354166666666668,2.6,2627163.1978460527,64.49,40737.52826556136,1299.044952916479,8141.137648000001,644000.0,129.52540800551645,1.8875000000000002
2008-01-01,29.837499999999995,4.6,2648927.6943116,65.603,40378.14877843392,1030.648,7272.214534999999,596562.5,126.41408158994795,2.0125000000000006
2009-01-01,27.516666666666666,9.341666666666667,2591099.226300598,66.518,38953.35437476469,928.1121416968945,6831.314554,469374.99999999994,98.12411489521789,1.5958333333333334
2010-01-01,27.65833333333333,8.775,2601661.2219918338,67.206,38711.74035044243,964.7238391927713,7134.700782999999,493595.5,30.706082845924872,1.5666666666666664
2011-01-01,27.766666666666666,8.525,2614893.3466435703,67.731,38607.038824815376,1011.4995439493897,7617.2696399999995,462250.0,26.31212467649821,1.3500000000000003
2012-01-01,28.208333333333332,7.158333333333332,2670550.956590754,68.395,39045.99687975369,1084.6809774026303,8170.488786621183,459375.0,34.45479616456106,1.3083333333333336
2013-01-01,28.90833333333333,5.683333333333334,2728398.0,69.512,39250.74807227529,1114.3542457913386,8496.9070547232,519737.5,35.01500846152095,1.3500000000000003
