date,ECT@KAU.Q,KPPRVRSD_R@KAU.Q,PMKRSGF@KAU.Q,PMKRCON@KAU.Q,PMKRSGF@KAU.Q,KRCON@KAU.Q,KRSGF@KAU.Q,PICTSGF@HON.Q
1972-01-01,0.5998814031397965,,,,,,,
1972-04-01,0.6041197496573973,,,,,,,
1972-07-01,0.6181822415654131,,,,,,,
1972-10-01,0.6367376073640939,,,,,,,
1973-01-01,0.683236953511832,,,,,,,
1973-04-01,0.6979238620988691,,,,,,,
1973-07-01,0.7132770353531548,,,,,,,
1973-10-01,0.7327458369653197,,,,,,,
1974-01-01,0.8492763839912643,,,,,,,
1974-04-01,0.8522377567008825,,,,,,,
1974-07-01,0.8748271918403848,,,,,,,
1974-10-01,0.8721394104180984,,,,,,,
1975-01-01,0.9110859012526907,,,,,,,
1975-04-01,0.8898608959749118,,,,,,,
1975-07-01,0.8586855933248957,,,,,,,
1975-10-01,0.8102918453872016,,,,,,,
1976-01-01,0.8421877548988768,,,,,,,
1976-04-01,0.813384144585375,,,,,,,
1976-07-01,0.7850652032544082,,,,,,,
1976-10-01,0.7909101277301259,,,,,,,
1977-01-01,0.7090452225551381,,,,,,,
1977-04-01,0.7075308395996007,,,,,,,
1977-07-01,0.6863076816430854,,,,,,,
1977-10-01,0.6327974124133087,,,,,,,
1978-01-01,0.6673072885390116,,,,,,,
1978-04-01,0.6858264896325467,,,,,,,
1978-07-01,0.717465683276662,,,,,,,
1978-10-01,0.7466068162156233,,,,,,,
1979-01-01,0.8948822186050317,,,,,,,
1979-04-01,0.903999791606997,,,,,,,
1979-07-01,0.9486506468301507,,,,,,,
1979-10-01,0.9758731704219211,,,,,,,
1980-01-01,1.4660076070321626,,,,,9.678150888791812,11.672223874312802,
1980-04-01,1.4448346424584502,,,,,2.9494365417864215,7.138541618171179,
1980-07-01,1.342732270996369,,,,,5.784397655402736,10.452216410750633,
1980-10-01,1.3672480725260978,,,,,4.5880149140190305,10.737018096765391,
1981-01-01,1.155168910051885,,,,,4.612642740890765,11.6091589555359,
1981-04-01,1.115288820959024,,,,,4.991523122255449,12.223894093964985,
1981-07-01,1.0910836385152332,,,,,6.282137030619131,10.010711193881697,
1981-10-01,1.0422996240542903,,,,,7.113697106234659,12.156235756617422,
1982-01-01,0.8572412147900396,,,,,8.363602506287739,11.568806884985216,65.4
1982-04-01,0.8144947223791906,,,,,7.059830976448402,10.225259004393855,64.5
1982-07-01,0.7818131101621546,,,,,6.23822478540721,9.186342952357345,65.0
1982-10-01,0.7743949636710218,,,,,5.338341731856646,9.01959115826359,66.3
1983-01-01,1.0444176060009749,,,,,5.677433915926228,11.790583214815902,69.6
1983-04-01,1.0228176461400456,,,,,8.286097009995315,15.37219725652779,71.0
1983-07-01,1.0257198960640659,,,,,10.734696181842295,17.21368384518741,72.4
1983-10-01,1.0199861215295967,,,,,12.30177289223616,18.623535683468894,73.1
1984-01-01,0.6949499387446426,,,,,11.136815320385628,16.996554291550222,74.7
1984-04-01,0.6939178414188755,,,,,11.914505660432793,16.121118367090375,74.3
1984-07-01,0.635847139480144,,,,,11.979592587888039,16.639201704200183,74.5
1984-10-01,0.5572744510511299,,,,,13.96908643129354,16.24312563715922,75.0
1985-01-01,0.7156882805488386,,,,,20.204690399823026,18.333371748718424,76.1
1985-04-01,0.7562102347858985,,,,,27.576554902256085,22.46682229981569,75.7
1985-07-01,0.7883192364747552,,,,,29.658714071319807,29.003697243939364,77.6
1985-10-01,0.7967369784957007,,,,,33.560040626601086,33.196108707526534,77.2
1986-01-01,0.8081159246518719,,,,,39.735414533726846,36.648999744439884,78.5
1986-04-01,0.8114060634630365,,,,,34.63406392353083,33.64012705407024,78.1
1986-07-01,0.8870486032770294,,,,,45.92901839044423,42.671959734414195,79.1
1986-10-01,0.932450497346384,,,,,61.701503152298095,65.03891346707566,81.5
1987-01-01,0.9664669982136007,,,,,56.01437543155649,48.16917682996597,80.9
1987-04-01,0.9874340590001834,,,,,61.98961943493718,57.449994778829165,81.3
1987-07-01,0.9881275096427621,,,,,67.01155324012076,56.31884983615163,82.5
1987-10-01,0.9943793470385867,,,,,68.98445189338555,53.06197855505322,83.6
1988-01-01,0.9269205812448881,,,,,65.6415879900179,47.99821824010699,86.7
1988-04-01,0.977639933350604,,,,,62.66933479210898,47.5998336616733,85.4
1988-07-01,1.0050055175272823,,,,,68.99699202043114,52.416299222872524,86.6
1988-10-01,1.0482254258732406,,,,,70.69208519744197,55.985648875347174,88.0
1989-01-01,1.4717098127457604,19.90860335195531,,,,69.54633518416101,59.73961594479783,89.5
1989-04-01,1.5712632350523388,23.618453038674033,,,,69.18569262939691,61.91128752396502,90.5
1989-07-01,1.643876560690824,32.39889258028793,,,,68.50534998350288,68.05537551291543,90.3
1989-10-01,1.7242160786595109,38.57580546448088,,,,73.76262220293917,72.2937210183217,91.5
1990-01-01,1.7671194379391102,38.51724890829694,,,,84.59583127704805,76.27570048848744,91.6
1990-04-01,1.7721779859484779,34.69891891891892,,,,79.8985420657363,76.85861960383083,92.5
1990-07-01,1.8042154566744735,29.549434737923953,,,,71.39238712408563,69.58876746271177,97.3
1990-10-01,1.8598594847775178,64.76777777777777,,,,57.11323953313002,59.27691244497,99.0
1991-01-01,1.7305952930318416,18.91004056795132,,,,34.62008253743392,35.71737316087638,98.6
1991-04-01,1.7258883248730967,20.875742067553738,,,,43.67967175496136,34.83747528140668,97.7
1991-07-01,1.6913705583756347,15.232146490335705,,,,46.91722545119106,36.43907031877462,98.3
