period,OCUP%@KAU.A,PRM@KAU.A,VISUSW@KAU.A,VISUSE@KAU.A,VISJP@KAU.A,VISCAN@KAU.A,VIS@KAU.A,EMPL@KAU.A,EMPL@HI.A,EMPL@US.A,UR@KAU.A,UR@HI.A,NRBEA@KAU.A,NRBEA@HI.A,YC@KAU.A,YCGVFD@KAU.A,EGVFD@KAU.A,YC_GVSL@KAU.A,E_GVSL@KAU.A,YLAE@KAU.A,EAE@KAU.A,YCAF@KAU.A,EAF@KAU.A,YCRT@KAU.A,ERT@KAU.A,YCWT@KAU.A,EWT@KAU.A,YCCT@KAU.A,ECT@KAU.A,YCAD@KAU.A,EAD@KAU.A,YCPS@KAU.A,EPS@KAU.A,YCED@KAU.A,EED@KAU.A,YCHC@KAU.A,EHC@KAU.A,YCIF@KAU.A,EIF@KAU.A,YCMN@KAU.A,EMN@KAU.A,YCFI@KAU.A,EFI@KAU.A,E_TU@KAU.A,ERE@KAU.A,EMA@KAU.A,PMKRSGF@KAU.A,PMKRCON@KAU.A,KPPRVRSD@KAU.A,E_NF@KAU.A,VEXPPD@KAU.A,VEXPPT@KAU.A,Y_R@KAU.A,YL@KAU.A,HAI@KAU.A,HAICON@KAU.A
display_name,Occupancy Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
category,Visitor,Construction,Visitor,Visitor,Visitor,Visitor,Visitor,Employment,Employment,Employment,Employment,Employment,General,General,Income,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Income,Employment,Employment,Employment,Employment,Construction,Construction,Construction,Employment,Visitor,Visitor,Income,Income,Construction,Construction
primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948-01-01,,,,,,,,,,58345.166666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949-01-01,,,,,,,,,,57651.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-01-01,,,,,,,,,,58921.0,,,,499000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951-01-01,,,,,,,,,,59963.166666666664,,,,502000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952-01-01,,,,,,,,,,60253.583333333336,,,,495000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-01-01,,,,,,,,,,61179.333333333336,,,,499000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954-01-01,,,,,,,,,,60109.25,,,,504000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955-01-01,,,,,,,,,,62170.333333333336,,,,529000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956-01-01,,,,,,,,,,63800.583333333336,,,,548000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957-01-01,,,,,,,,,,64067.916666666664,,,,573000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958-01-01,,,,,,,,,,63036.333333333336,,,,605000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-01-01,,,,,,,,,,64629.833333333336,,,,622000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-01-01,,,,,,,,,,65776.0,,,,642000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961-01-01,,,,,,,,,,65745.41666666667,,,,659000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962-01-01,,,,,,,,,,66702.5,,,,684000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963-01-01,,,,,,,,,,67762.83333333333,,,,682000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964-01-01,,,,,,,,,,69304.41666666667,,,,700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965-01-01,,,,,,,,,,71088.08333333333,,,,704000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966-01-01,,,,,,,,,,72898.16666666667,,,,710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967-01-01,,,,,,,,,,74371.58333333333,,,,723000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968-01-01,,,,,,,,,,75920.0,,,,734000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969-01-01,,,,,,,,,,77901.66666666667,,,30044.0,743000.0,79701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283933.1923890064,93136.0,,
1970-01-01,,,,,,,,,,78678.0,,,29620.0,762920.0,86801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292445.4271356784,98367.0,,
1971-01-01,,,,,,,,,,79366.5,,,33245.0,791580.0,94849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312231.5708220764,108491.0,,
1972-01-01,,,,,,,,,,82153.0,,,31864.0,818104.0,98337.0,,0.2999999999999999,,1.9749999999999996,,,,2.2742583333333335,,,,,,0.61475,,,,,,,,0.3961333333333333,,,,1.2753250000000003,,0.1000565046026685,0.608525,0.19464166666666669,,,,,10.158333333333333,,,322372.197309417,113880.0,,
1973-01-01,,,,,,,,,,85064.91666666667,,,32530.0,841851.0,110593.0,,0.40000000000385866,,1.8416666666666666,,,,2.2932583333333336,,,,,,0.7068083333333334,,,,,,,,0.4217833333333334,,,,1.2258083333333332,,0.11704992641454406,0.8114333333333333,0.2271416666666667,,,,,10.691666666666668,,,345366.95278969954,126931.0,,
1974-01-01,,,,,,,,,,86794.91666666667,,,32536.0,858121.0,121397.0,,0.4,,1.8499999999999999,,,,2.2756666666666665,,,,,,0.8621083333333334,,,,,,,,0.45655833333333323,,,,1.0569416666666667,,0.14200031461622753,0.7017666666666668,0.2745166666666667,,,,,10.666666666666666,,,425454.898157129,178925.0,,
1975-01-01,,,,,,,,,,85847.16666666667,,,33305.0,875052.0,140620.0,,0.2999999999999999,,2.1,,,,2.426075,,,,,,0.8674916666666665,,,,,,,,0.5447416666666668,,,,1.2229,,0.1911938622238046,0.737925,0.3602083333333333,,,,,11.6,,,376253.5920604355,164640.0,,
1976-01-01,,,,,,,,,372262.0,88753.16666666667,,9.25,34770.0,892335.0,157005.0,,0.3,,2.3000000000000003,,,,2.659691666666667,,,,,,0.8078833333333334,,,,,,,,0.5671666666666666,,,,1.212025,,0.21646983240147727,0.7862166666666668,0.4076083333333333,,,,,12.299999999999999,,,385062.15644820296,178945.0,,
1977-01-01,,,,,,,,,386127.3333333333,92017.16666666667,,7.733333333333332,35414.0,915749.0,174437.0,,0.3,,2.3416666666666672,,,,2.905258333333333,,,,,,0.6839083333333335,,,,,,,,0.6334583333333333,,,,1.1258083333333333,,0.2560864106695801,0.9629249999999999,0.4756666666666667,,,,,13.041666666666664,,,402353.5095960274,199646.0,,
1978-01-01,,,,,,,,,394314.8333333333,96048.75,,6.691666666666667,36700.0,928816.0,195941.0,,0.2999999999999999,,2.433333333333333,,,,3.0397250000000002,,,,,,0.7042999999999999,,,,,,,,0.7155499999999999,,,,1.180525,,0.2920401034744664,0.9833833333333333,0.5408750000000001,,,,,13.683333333333335,,,411572.4962630793,217951.0,,
