date,Y@KAU.A,YL@KAU.A,YLAGFA@KAU.A,YL_NF@KAU.A,YSOCSEC@KAU.A,YDIV@KAU.A,YTRNSF@KAU.A,Y_R@KAU.A,NR@KAU.A,YPC_R@KAU.A
1985-01-01,545905.0,402359.0,29195.0,373164.0,41158.0,119442.0,76031.0,510887.8923766815,44.357,11517.63853228761
1986-01-01,592304.0,441069.0,28517.0,412552.0,46177.0,128869.0,79274.0,541514.4565921299,45.567,11883.91723379046
1987-01-01,632976.0,477462.0,24854.0,452608.0,50868.0,135165.0,81121.0,550892.9503916448,47.203,11670.719030393086
1988-01-01,753106.0,574692.0,26504.0,548188.0,61710.0,161670.0,87084.0,618567.5564681725,48.549,12741.097787146438
1989-01-01,877488.0,676790.0,22735.0,654055.0,72751.0,186000.0,96289.0,681544.0776699029,49.847,13672.720076833168
1990-01-01,956828.0,750352.0,24815.0,725537.0,82288.0,188751.0,106475.0,692600.7962359753,51.676,13402.755558401876
1991-01-01,1041555.0,821348.0,23111.0,798237.0,91952.0,199130.0,118591.0,703991.2132477189,53.379,13188.542558828733
1992-01-01,1128894.0,841932.0,18077.0,823855.0,94332.0,213428.0,172743.0,727614.5665485015,54.439,13365.685750078095
1993-01-01,1182243.0,876797.0,30841.0,845956.0,97002.0,240426.0,168129.0,738440.3497813867,55.461,13314.587724371842
1994-01-01,1205205.0,891662.0,31677.0,859985.0,98682.0,238369.0,176546.0,732424.7948951686,56.478,12968.320317560265
1995-01-01,1258938.0,918018.0,31333.0,886685.0,101181.0,238896.0,204053.0,748699.3755575379,57.068,13119.425519687704
1996-01-01,1254043.0,907128.0,30956.0,876172.0,100786.0,239900.0,206891.0,734432.2108345535,57.688,12731.108910597584
1997-01-01,1276024.0,914750.0,25654.0,889096.0,101111.0,253749.0,205980.0,742090.14248328,57.712,12858.50676606737
1998-01-01,1297442.0,920667.0,29128.0,891539.0,103083.0,266926.0,209113.0,756525.9475218658,57.843,13078.954195354076
1999-01-01,1346101.0,958597.0,32875.0,925722.0,107553.0,275250.0,215114.0,776970.2741702741,58.264,13335.340418959806
2000-01-01,1440760.0,1026840.0,30885.0,995955.0,115384.0,306919.0,216396.0,817220.6466250708,58.568,13953.364407612875
2001-01-01,1483112.0,1061769.0,23442.0,1038327.0,119208.0,300787.0,231789.0,831340.807174888,59.075,14072.633214979061
2002-01-01,1559986.0,1162342.0,23971.0,1138371.0,130323.0,268275.0,251535.0,865456.8654646324,59.981,14428.850226982418
2003-01-01,1637429.0,1236433.0,22127.0,1214306.0,141945.0,271524.0,262742.0,887735.9718080781,60.805,14599.719954084008
2004-01-01,1802096.0,1323625.0,23112.0,1300513.0,147715.0,332601.0,284102.0,945733.92810286,62.095,15230.436075414449
2005-01-01,1939994.0,1424745.0,20698.0,1404047.0,161866.0,363509.0,302955.0,980785.6420626895,62.863,15601.954123454012
2006-01-01,2093358.0,1522649.0,20469.0,1502180.0,174617.0,413829.0,320427.0,999932.171005493,63.465,15755.647538099629
2007-01-01,2271045.0,1611785.0,14668.0,1597117.0,186918.0,484813.0,350014.0,1034625.7926962606,64.49,16043.197281691124
2008-01-01,2387466.0,1640037.0,22231.0,1617806.0,187085.0,532979.0,390166.0,1043197.0567223264,65.603,15901.666946973868
2009-01-01,2347463.0,1581437.0,25377.0,1556060.0,180147.0,489101.0,446532.0,1020423.1290861039,66.518,15340.556377012292
2010-01-01,2406427.0,1587659.0,28044.0,1559615.0,189945.0,503329.0,495387.0,1024582.6396842494,67.206,15245.404274681567
2011-01-01,2508804.0,1654005.0,30204.0,1623801.0,180366.0,508963.0,515269.0,1029793.6967925719,67.731,15204.170864044116
2012-01-01,2623755.0,1727908.0,34952.0,1692956.0,184500.0,554379.0,514273.0,1051712.700095601,68.395,15377.040720748608
2013-01-01,2728398.0,1821788.0,41193.0,1780595.0,222013.0,580416.0,536170.0,1074493.94306958,69.512,15457.675553423578
