date,VIS@KAU.M,VISUS@KAU.M,VISUSW@KAU.M,VISUSE@KAU.M,VISJP@KAU.M,VISRES@KAU.M,VLOS@KAU.M,VDAY@KAU.M,VEXP@KAU.M
2007-08-01,114.3766926033,97.2578932137,55.5172455143,40.077378404,3.1464898521,13.9723095375,6.2325956148,712.8636727495,119.4520791433
2007-09-01,107.5147935585,90.9190467087,52.2140176671,41.7906558471,2.7890402434,13.8067066065,6.3172229643,679.1949228664,109.7902017459
2007-10-01,106.6352878945,90.7388828,53.7588393362,37.3758371137,2.5969796771,13.2994254175,6.3380448579,675.8592381106,109.5355998649
2007-11-01,106.7020799472,89.8842796652,54.1299354582,36.4791263125,2.7921104184,14.0256898636,6.3684541077,679.5272993377,110.1701982949
2007-12-01,106.8677843994,89.9203084943,53.8313905861,35.4148536102,2.7385288533,14.2089470518,6.5520528443,700.2033707328,119.4920196178
2008-01-01,100.4951794713,85.0083527121,50.3553340431,34.3278422448,2.5890293378,12.8977974214,6.5629135002,659.5411700524,104.6708171355
2008-02-01,99.843103294,84.467149958,50.9004963809,34.40379808,2.4831709392,12.8927823968,6.7316535962,672.1091853454,106.3852202299
2008-03-01,98.6233202435,83.7175583792,49.3898132673,31.9413798959,2.3306132513,12.575148613,6.6121230564,652.1095296777,103.9119924623
2008-04-01,90.8507487829,76.575421488,45.3241491041,31.7467512285,2.2180597652,12.0572675297,6.9804897531,634.1827209421,100.9250313562
2008-05-01,87.2722864731,72.9944520387,43.086064126,31.2695517413,2.4245714724,11.853262962,7.0518764024,615.4333775617,99.5996711891
2008-06-01,81.8710465602,68.3774975148,41.1578704834,28.4829284288,2.1947450572,11.2988039881,7.2173695452,590.8935980781,96.6275553138
2008-07-01,78.2396267409,65.0830640899,39.6773515479,26.9862067877,2.1264259832,11.0301366678,7.1596673147,560.1696982883,90.9315264228
2008-08-01,78.8111430418,65.7066344201,39.0514073506,27.734271171,2.1048426379,10.9996659838,7.3006541446,575.3728980875,91.8624307712
2008-09-01,77.8172042772,65.0796844372,37.8273732777,25.650426386,1.8286141556,10.9089056844,7.332102187,570.5636936645,88.2775548766
2008-10-01,79.8394609183,66.8228216663,39.1905263451,26.7911417989,2.0000102753,11.0166289767,7.3521962296,586.9953835373,89.8679117239
2008-11-01,79.9624283925,67.8123049885,40.7595125117,26.686279328,1.8953034406,10.2548199634,7.3819561736,590.2791419296,87.4375816805
2008-12-01,77.0224518044,65.2102793073,38.6574775621,25.4572679092,1.9715776677,9.8405948294,7.3298645344,564.5641378353,83.5337987259
2009-01-01,78.6428349559,66.923094206,40.5124736166,25.9751966402,1.9091826919,9.8105580579,7.3092370737,574.8191248368,85.7443873934
2009-02-01,79.6575628273,68.8945804584,40.8687635908,26.1077022939,1.8989072235,8.8640751454,7.1666660362,570.8791500388,86.8106253886
2009-03-01,73.1095065256,62.4728502285,38.5406038477,23.21001223,1.8784655822,8.7581907148,7.2252555738,528.2348695224,81.791533138
2009-04-01,77.7115542493,65.1849251233,38.5993933262,27.0237177019,2.0521489206,10.4744802055,7.4714462161,580.6176979432,86.8043027208
2009-05-01,78.3289765175,67.6364846647,42.2072886821,26.1490671581,1.6828821752,9.0096096777,7.450656554,583.6023022603,84.5183395879
