date,E_NF@KAU.M,ECT@KAU.M,EMN@KAU.M,E_TTU@KAU.M,E_TU@KAU.M,E_TRADE@KAU.M,EIF@KAU.M,E_FIR@KAU.M,EFI@KAU.M,ERE@KAU.M,E_PBS@KAU.M,EPS@KAU.M,EMA@KAU.M,EAD@KAU.M,E_EDHC@KAU.M,EED@KAU.M,EHC@KAU.M,E_LH@KAU.M,EAE@KAU.M,EAF@KAU.M,EOS@KAU.M,EGV@KAU.M,EGV@KAU.M,EGVFD@KAU.M,E_GVSL@KAU.M,EMPL@KAU.M,UR@KAU.M,ERT@KAU.M
1989-09-01,23.441692371609914,1.6879012792366557,0.9240164133308594,,,,,1.4057773533164952,0.5123834846897362,0.8933938686267592,,,,,,,1.625305192937943,,,7.037452306781635,,3.243727854330709,3.243727854330709,0.34899947952145444,2.9844870955604086,,,
1989-10-01,23.60184965130656,1.7089522945842897,0.9143421683930762,,,,,1.4237908727814286,0.518958061680937,0.9048328111004915,,,,,,,1.607912930448779,,,7.085580693140178,,3.2449054872047247,3.2449054872047247,0.3514598641105348,2.957652950105377,,,
1989-11-01,23.74798066606214,1.7316464829526976,0.9150634463033002,,,,,1.441505101789911,0.5236171387502921,0.917887963039619,,,,,,,1.6181246157235503,,,7.070432061914962,,3.253383809055119,3.253383809055119,0.3500116104510048,2.9596677590044966,,,
1989-12-01,23.822617647349755,1.7320494584415451,0.9128909300073581,,,,,1.4443755236136813,0.5268300746160927,0.9175454489975886,,,,,,,1.6226625619937658,,,7.060015645021749,,3.258579995078741,3.258579995078741,0.35021284634217914,2.966793336898532,,,
1990-01-01,23.608444484088903,1.7401405152224827,0.8537246963562755,5.312526310850461,1.3700205338809044,3.9425057769695564,0.3868236155824257,1.3107902852959317,0.49770852428964235,0.8130817610062894,1.347562448450571,0.2930555555555555,-1.2930153770331112e-16,1.0545068928950156,1.611612124076189,0.09850746268656718,1.5131046613896217,7.123817667638747,0.801077199281867,6.32274046835688,0.5643338954468801,3.35711292516894,3.35711292516894,0.3970717423133236,2.9600411828556163,25115.528183438866,3.808062762039488,3.4687569573283854
1990-02-01,23.811796256631226,1.7856674473067917,0.8497165991902835,5.37403529857878,1.3946611909650926,3.979374107613687,0.39170877409603466,1.3143927157013644,0.4949587534372134,0.819433962264151,1.3610610345233882,0.29722222222222217,-1.2930153770331112e-16,1.0638388123011662,1.6157238215256173,0.09850746268656718,1.5172163588390501,7.205220622240497,0.7923698384201077,6.4128507838203985,0.5672428330522764,3.3470271104161906,3.3470271104161906,0.39824304538799415,2.9487840650281965,25210.298531568442,3.7040186224831184,3.500148423005566
1990-03-01,23.791604444672206,1.7755503512880566,0.8497165991902835,5.3838915614124545,1.4045174537987681,3.979374107613687,0.38944386490153543,1.3171424865537935,0.49770852428964246,0.819433962264151,1.3871686108165426,0.3,-1.2930153770331112e-16,1.0871686108165428,1.6209549219601205,0.0996268656716418,1.5213280562884786,7.091384560004638,0.7836624775583483,6.307722082446293,0.573060708263069,3.403290780281714,3.403290780281714,0.3994143484626647,3.0038764318190494,25005.859810476155,4.220726908323025,3.500148423005566
1990-04-01,24.038968095826174,1.7603747072599534,0.829676113360324,5.399891073780403,1.3995893223819307,4.000301751398473,0.40172899166750137,1.3171424865537935,0.49770852428964246,0.819433962264151,1.3736700247437252,0.2958333333333333,-1.2930153770331112e-16,1.077836691410392,1.636282308772759,0.09850746268656718,1.5377748460861917,7.301641962752848,0.7836624775583483,6.517979485194504,0.573060708263069,3.4454997186717966,3.4454997186717966,0.404099560761347,3.0414001579104495,24902.884626164003,4.146691428311245,3.521076066790352
1990-05-01,24.0531629144765,1.770491803278689,0.8216599190283402,5.393077022959562,1.3848049281314168,4.008272094828145,0.4030271872526375,1.3325966599219456,0.5004582951420714,0.8321383647798742,1.3811137622245784,0.29861111111111105,-1.319953197387968e-16,1.0825026511134674,1.6403940062221873,0.09850746268656718,1.5418865435356202,7.280312551793437,0.7923698384201077,6.4879427133733305,0.573060708263069,3.4574292935320536,3.4574292935320536,0.41346998535871154,3.043959308173342,24900.8184999313,3.698291676068566,3.526307977736549
1990-06-01,24.088460559675717,1.7856674473067917,0.8176518218623483,5.413700887214989,1.3897330595482542,4.023967827666735,0.40873562481889636,1.341698632032236,0.5032080659945003,0.8384905660377358,1.3951116413338043,0.29861111111111105,-1.3468910177428242e-16,1.0965005302226933,1.649736804106119,0.0996268656716418,1.550109938434477,7.257784972927557,0.7923698384201077,6.465415134507451,0.5817875210792579,3.4365852069937177,3.4365852069937177,0.4064421669106882,3.0301430400830296,24984.88244665318,3.8032652566008074,3.542003710575139
1990-07-01,24.166336947632985,1.7957845433255273,0.8176518218623483,5.416439319698464,1.3897330595482542,4.02670626015021,0.39936960159488094,1.3508006041425267,0.5059578368469293,0.8448427672955975,1.410498409331919,0.3,-1.2930153770331112e-16,1.1104984093319192,1.6617059819635334,0.0951492537313433,1.5665567282321902,7.245162922829906,0.8097845601436265,6.435378362686278,0.573060708263069,3.4958630346208124,3.4958630346208124,0.40175695461200583,3.0941060800088067,24980.09583083436,3.7958878908618376,3.542003710575139
1990-08-01,24.198896136014216,1.8059016393442628,0.8176518218623483,5.423802104069418,1.3995893223819307,4.0242127816874875,0.40346958441691216,1.360755235805821,0.5032080659945003,0.8575471698113207,1.4198303287380696,0.3,-1.319953197387968e-16,1.1198303287380698,1.6732875858176137,0.09850746268656718,1.5747801231310465,7.2388518977810765,0.818491921005386,6.420359976775691,0.573060708263069,3.4822852299156284,3.4822852299156284,0.39824304538799415,3.0840421845276342,25146.184699965084,3.4278799033864216,3.5367717996289416
1990-09-01,24.212519967582843,1.8109601873536303,0.8176518218623483,5.4256880234734215,1.4094455852156058,4.016242438257816,0.40113609304472214,1.360755235805821,0.5032080659945003,0.8575471698113207,1.4212192176269585,0.3013888888888888,-1.319953197387968e-16,1.1198303287380698,1.6837497866866198,0.10074626865671643,1.5830035180299034,7.2400500656875355,0.8271992818671454,6.4128507838203985,0.5701517706576728,3.4811577653841126,3.4811577653841126,0.3947291361639825,3.08642862922013,25170.017808286622,3.2743853539042744,3.5315398886827456
1990-10-01,24.45617779582574,1.8564871194379395,0.8136437246963565,5.459514142104718,1.414373716632444,4.045140425472274,0.405258787218563,1.3671074370636827,0.5032080659945003,0.8638993710691824,1.436605985625073,0.30277777777777776,-1.266077556678255e-16,1.1338282078472954,1.6889808871211227,0.10186567164179106,1.5871152154793318,7.345178767061645,0.8271992818671454,6.517979485194504,0.5846964586846543,3.4987044868119876,3.4987044868119876,0.395900439238653,3.1028040475733345,25308.510815839385,2.9719026541757954,3.557699443413729
1990-11-01,24.59643919429454,1.8564871194379395,0.8136437246963565,5.466935751984277,1.4193018480492814,4.047633903934996,0.4030449394200477,1.3679600966166865,0.49770852428964246,0.870251572327044,1.4286629551078116,0.3041666666666666,-1.266077556678255e-16,1.1244962884411451,1.6994430879901286,0.10410447761194032,1.5953386103781881,7.459014829297514,0.8359066427289048,6.623108186568608,0.5788785834738616,3.522368106269921,3.522368106269921,0.39824304538799415,3.124125060881927,25689.707637969597,2.6645458072367068,3.5629313543599253
1990-12-01,24.540788743579355,1.8666042154566749,0.8136437246963565,5.442907070678052,1.4291581108829572,4.013748959795095,0.4062529359858424,1.3679600966166865,0.49770852428964246,0.870251572327044,1.4253858842936251,0.3055555555555555,-1.266077556678255e-16,1.1198303287380698,1.6994430879901286,0.10410447761194032,1.5953386103781881,7.420270696614585,0.8271992818671454,6.593071414747435,0.5817875210792579,3.516533510168145,3.516533510168145,0.39121522693997074,3.1253182832281743,25780.08233881676,3.0297748620450093,3.526307977736549
1991-01-01,25.36287875910671,1.7321642824180896,0.8493087557603687,5.4653660463748,1.4449431818181817,4.020422864556619,0.33761197526888315,1.288495211658891,0.46403197158081694,0.824463240078074,1.5239216532410365,0.3178097345132744,0.10017761989342804,1.1059342988343341,1.7471387104343699,0.0990134529147982,1.6481252575195717,8.133038612790214,0.7533972125435541,7.379641400246657,0.6041429731925264,3.6816905379675307,3.6816905379675307,0.39685039370078734,3.2848401442667434,26350.425158743565,3.630331006051657,3.5528656126482216
1991-02-01,25.208684174684073,1.7321642824180896,0.8371177209886889,5.457469488278067,1.444943181818181,4.012526306459886,0.34174667025200517,1.277169545526509,0.4591474245115452,0.818022121014964,1.5114776858509213,0.31924778761061945,0.10017761989342804,1.0920522783468738,1.7543031035381114,0.0979372197309417,1.6563658838071698,8.08313952950269,0.7371951219512195,7.3459444075514675,0.6071486596263199,3.606947488702671,3.606947488702671,0.39566929133858264,3.2112781973640887,26324.499567752868,3.527316915784584,3.5476408102766803
