date,E_NF@KAU.Q,ECT@KAU.Q,EMN@KAU.Q,E_TTU@KAU.Q,E_TU@KAU.Q,E_TRADE@KAU.Q,EIF@KAU.Q,E_FIR@KAU.Q,EFI@KAU.Q,ERE@KAU.Q,E_PBS@KAU.Q,EPS@KAU.Q,EMA@KAU.Q,EAD@KAU.Q,E_EDHC@KAU.Q,EED@KAU.Q,EHC@KAU.Q,E_LH@KAU.Q,EAE@KAU.Q,EAF@KAU.Q,EOS@KAU.Q,EGV@KAU.Q,EGV@KAU.Q,EGVFD@KAU.Q,E_GVSL@KAU.Q,EMPL@KAU.Q,UR@KAU.Q,ERT@KAU.Q
1986-01-01,17.673107308669184,0.8081159246518719,1.1200118283977825,,,,,0.9219876227659753,0.32920553043403195,0.5927820923319431,,,,,,,1.1336786909307588,,,4.810142797787023,,2.818287426744804,2.818287426744804,0.3014130325406948,2.5592804296486857,,,
1986-04-01,17.768042798056765,0.8114060634630365,1.1307139251580045,,,,,0.9262869981259972,0.33077128326328237,0.5955157148627167,,,,,,,1.142568465170619,,,4.844834543584853,,2.8189416267092873,2.8189416267092873,0.29950645796862707,2.5582623086898244,,,
1986-07-01,18.006182251189184,0.8870486032770294,1.1186350816579753,,,,,0.943154462356778,0.33680536514269543,0.6063490972140831,,,,,,,1.1546816975605607,,,4.957213124589497,,2.825625102113301,2.825625102113301,0.29911847728106267,2.5862912584907023,,,
1986-10-01,18.216883095495973,0.932450497346384,1.1219391647862376,,,,,0.9550037564449747,0.3407892217069442,0.614214534738029,,,,,,,1.159069816813136,,,4.953442867371973,,2.8396051145444847,2.8396051145444847,0.2999620322096154,2.596166003170788,,,
1987-01-01,18.96509808376363,0.9664669982136007,1.0553527443445339,,,,,1.0206533191428233,0.36581425131633766,0.6548390678264869,,,,,,,1.23402564488814,,,5.32329272347191,,2.895820463878767,2.895820463878767,0.2943184345776427,2.647062509029775,,,
1987-04-01,19.22856068846816,0.9874340590001834,1.0466210093307031,,,,,1.0279791726737733,0.36811201153935663,0.6598671611344195,,,,,,,1.2670782404502998,,,5.41029017582447,,2.927660084446758,2.927660084446758,0.2994920175079087,2.6641767893349035,,,
1987-07-01,19.391920298336203,0.9881275096427621,1.0446743775634626,,,,,1.0270745709957134,0.3676415190579709,0.6594330519377413,,,,,,,1.2918402009882888,,,5.5076437090243004,,2.9394290473711613,2.9394290473711613,0.30199584082499564,2.676521256879122,,,
1987-10-01,19.669817119908206,0.9943793470385867,1.0542852020946345,,,,,1.0263620910230633,0.36718939316730853,0.6591726978557549,,,,,,,1.3247225803399394,,,5.654440058345976,,2.970711828330152,2.970711828330152,0.3041937070894528,2.7122394447562015,,,
1988-01-01,20.683139341804804,0.9269205812448881,0.9972029215497145,,,,,1.1185898719759335,0.4022062711768928,0.7163836007990407,,,,,,,1.3737242634611857,,,6.369455625314437,,3.0511239498730087,3.0511239498730087,0.30031485466196733,2.794168444595049,,,
1988-04-01,20.91899872927888,0.977639933350604,1.0113925658377048,,,,,1.12539709513572,0.40415694225447824,0.7212401528812413,,,,,,,1.3913674866577834,,,6.493755895326546,,3.068606240754697,3.068606240754697,0.298692873817332,2.8118351596178446,,,
1988-07-01,21.13996994369781,1.0050055175272823,1.00431255292434,,,,,1.1333125133780533,0.40715231077156827,0.726160202606485,,,,,,,1.4005093361054517,,,6.561518778690811,,3.093689078679283,3.093689078679283,0.30003922401027383,2.8542711959035585,,,
1988-10-01,21.37897965451724,1.0482254258732406,0.9933252930215742,,,,,1.1401405087666934,0.40915983068480116,0.7309806780818935,,,,,,,1.4273384431424418,,,6.697403034001553,,3.1131117809595588,3.1131117809595588,0.30095304751042673,2.873058533216883,,,
1989-01-01,22.70186233726265,1.4717098127457604,0.9306358218228773,,,,,1.3821324644324668,0.5046746992924227,0.8774577651400467,,,,,,,1.537026697275378,,,6.885404545379274,,3.1971907234251975,3.1971907234251975,0.34985464196168103,2.8849644511009678,,,
1989-04-01,23.020916658698088,1.5712632350523388,0.918864409204625,,,,,1.39422634331312,0.5080222833582148,0.8862040599549063,,,,,,,1.5759792624290438,,,6.976688696869977,,3.2172051919291342,3.2172051919291342,0.3491529205456542,2.90220342792786,,,
1989-07-01,23.316427165663715,1.643876560690824,0.9172009207379195,,,,,1.3993658398071434,0.5102375108983938,0.8891283289087469,,,,,,,1.5994364207975214,,,7.052797291058457,,3.231132578740158,3.231132578740158,0.35043099719142473,2.951460772301706,,,
1989-10-01,23.72414932157282,1.7242160786595109,0.9140988482345782,,,,,1.4365571660616734,0.5231350916824407,0.9134220743792331,,,,,,,1.6162333693886985,,,7.072009466692297,,3.252289763779528,3.252289763779528,0.3505614403012396,2.9613713486694686,,,
