"period",OCUP%@KAU.Q,PRM@KAU.Q,VISUSW@KAU.Q,VISUSE@KAU.Q,VISJP@KAU.Q,VISCAN@KAU.Q,VIS@KAU.Q,EMPL@KAU.Q,EMPL@HI.Q,EMPL@US.Q,PMKRSGF@KAU.Q,PMKRCON@KAU.Q,ECT@KAU.Q,KPPRVRSD@KAU.Q,E_NF@KAU.Q,VEXPPD@KAU.Q,VEXPPT@KAU.Q
1948-01-01,,,,,,,,,,57976.0,,,,,,,
1948-04-01,,,,,,,,,,58296.0,,,,,,,
1948-07-01,,,,,,,,,,58645.666666666664,,,,,,,
1948-10-01,,,,,,,,,,58514.666666666664,,,,,,,
1949-01-01,,,,,,,,,,58142.0,,,,,,,
1949-04-01,,,,,,,,,,57490.333333333336,,,,,,,
1949-07-01,,,,,,,,,,57390.333333333336,,,,,,,
1949-10-01,,,,,,,,,,57707.666666666664,,,,,,,
1950-01-01,,,,,,,,,,57704.666666666664,,,,,,,
1950-04-01,,,,,,,,,,58761.333333333336,,,,,,,
1950-07-01,,,,,,,,,,59457.666666666664,,,,,,,
1950-10-01,,,,,,,,,,59643.0,,,,,,,
1951-01-01,,,,,,,,,,59899.333333333336,,,,,,,
1951-04-01,,,,,,,,,,59899.0,,,,,,,
1951-07-01,,,,,,,,,,59954.333333333336,,,,,,,
1951-10-01,,,,,,,,,,60114.333333333336,,,,,,,
1952-01-01,,,,,,,,,,60276.666666666664,,,,,,,
1952-04-01,,,,,,,,,,60107.666666666664,,,,,,,
1952-07-01,,,,,,,,,,60094.0,,,,,,,
1952-10-01,,,,,,,,,,60611.333333333336,,,,,,,
1953-01-01,,,,,,,,,,61831.333333333336,,,,,,,
1953-04-01,,,,,,,,,,61306.333333333336,,,,,,,
1953-07-01,,,,,,,,,,61151.333333333336,,,,,,,
1953-10-01,,,,,,,,,,60536.0,,,,,,,
1954-01-01,,,,,,,,,,60291.0,,,,,,,
1954-04-01,,,,,,,,,,59961.666666666664,,,,,,,
